msnm,nombre,region
3500,Putre,Arica y Parinacota
2407,San Pedro de Atacama,Antofagasta
2400,Calama,Antofagasta
2400,El Salvador,Atacama
1010,San José de Maipo,Metropolitana de Santiago
951,Alto Hospicio,Tarapacá
890,Combarbalá,Coquimbo
819,Los Andes,Valparaíso
787,Diego de Almagro,Atacama
654,San Felipe,Valparaíso
650,Vicuña,Coquimbo
572,Rancagua,O'Higgins
520,Santiago,Metropolitana de Santiago
508,Salamanca,Coquimbo
462,Quillota,Valparaíso
394,Llay-Llay,Valparaíso
388,Illapel,Coquimbo
383,Copiapó,Atacama
379,Vallenar,Coquimbo
360,Talagante,Metropolitana de Santiago
340,San Fernando,O'Higgins
320,Rengo,O'Higgins
310,Andacollo,Coquimbo
302,Coyhaique,Aysén
243,Molina,Maule
215,Ovalle,Coquimbo
174,Melipilla,Metropolitana de Santiago
165,Linares,Maule
144,Olmué,Valparaíso
143,Villa Alemana,Valparaíso
141,Quilpué,Valparaíso
139,Los Ángeles,Biobío
124,Chillán,Biobío
122,Temuco,La Araucanía
102,Talca,Maule
93,Limache,Valparaíso
40,Antofagasta,Antofagasta
39,Osorno,Los Lagos
34,Punta Arenas,Magallanes y Antártica Chilena
28,La Serena,Coquimbo
15,Coquimbo,Coquimbo
14,Puerto Montt,Los Lagos
12,Concepción,Biobío
11,Los Vilos,Coquimbo
11,Valdivia,Los Ríos
10,Valparaíso,Valparaíso
2,Viña del Mar,Valparaíso
2,Arica,Arica y Parinacota
1,Iquique,Tarapacá
1,Talcahuano,Biobío
